"Sample","Codec","Original size (KB)","Compressed size (KB)","Bitrate (Kbit/s)","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"06_countertenorB",".m4a","208.36328125","3.67578125","8","56.685441020191284","4.26396","4.66769","0.17926459647111664","0.00019653845014298767"
"06_countertenorB",".opus","208.36328125","3.064453125","8","67.99362651370299","3.86704","4.17302","0.16330005665337097","0.0002078687670775067"
"06_countertenorB",".m4a","208.36328125","25.1875","80","8.272487593052109","4.98097","4.72156","0.17906834259882162","0.0001957848597306096"
"06_countertenorB",".mp3","208.36328125","24.2783203125","80","8.58227746269257","4.99483","4.72594","0.17892997977266073","0.00019631894275635078"
"06_countertenorB",".opus","208.36328125","32.8779296875","80","6.33748180711082","4.99384","4.73015","0.17903148243764508","0.00019616628731073332"
"06_countertenorB",".m4a","208.36328125","30.0126953125","96","6.942504799401295","4.9894","4.72992","0.17917346873953924","0.0001958171077667827"
"06_countertenorB",".mp3","208.36328125","29.125","96","7.154104077253219","4.99896","4.73046","0.1790037729188902","0.0001957512271355034"
"06_countertenorB",".opus","208.36328125","37","96","5.631440033783784","4.99422","4.73017","0.1791999203262832","0.0001962656077602843"
"07_bass",".m4a","226.470703125","37.5107421875","112","6.037489260888808","4.99787","4.70468","0.3550174039574054","0.0002352580341106742"
"07_bass",".mp3","226.470703125","36.8291015625","112","6.149232360194097","4.99903","4.7079","0.35515390907466426","0.00023553321783102178"
"07_bass",".opus","226.470703125","45.5146484375","112","4.975776170961444","4.99671","4.71114","0.35550922042104566","0.00023585555740520049"
"07_bass",".m4a","226.470703125","42.576171875","128","5.319188953621726","4.9993","4.71444","0.35554894121177666","0.00023559070521021898"
"07_bass",".mp3","226.470703125","42.0830078125","128","5.381523681340357","4.99928","4.71167","0.35552771353101215","0.00023574212561204574"
"07_bass",".opus","226.470703125","50.5068359375","128","4.483961406833079","4.99771","4.71221","0.3555884472706519","0.00023586265918479452"
"07_bass",".m4a","226.470703125","6.5341796875","16","34.659393214766105","4.62821","4.35572","0.3425364391296002","0.00022983440950386842"
"07_bass",".opus","226.470703125","7.2138671875","16","31.393799918776228","4.66967","4.3382","0.34145050066666055","0.00023810100653434178"
"07_bass",".m4a","226.470703125","52.8837890625","160","4.2824220264805275","4.99947","4.7313","0.3555390679885095","0.0002356332712131344"
"07_bass",".mp3","226.470703125","52.5947265625","160","4.305958371242364","4.9997","4.71344","0.35557926288932573","0.00023574976923926343"
"07_bass",".opus","226.470703125","60.4970703125","160","3.7434986844016853","4.99812","4.7124","0.3558205904117721","0.00023595564489796122"
"07_bass",".m4a","226.470703125","63.044921875","192","3.592211654636141","4.99979","4.73172","0.35548627617114475","0.00023562177518148618"
"07_bass",".mp3","226.470703125","63.103515625","192","3.5888761645361975","4.99985","4.71377","0.3555190343034016","0.00023571320584438095"
"07_bass",".opus","226.470703125","70.4921875","192","3.2127064169345005","4.99824","4.71277","0.35556663782896736","0.00023576741017296014"
"07_bass",".m4a","226.470703125","71.9658203125","224","3.146920331646154","4.9999","4.7312","0.35559797168768303","0.00023570364375254376"
"07_bass",".mp3","226.470703125","73.615234375","224","3.0764108142527395","4.99992","4.71392","0.3555115463226358","0.00023570102740165942"
"07_bass",".opus","226.470703125","80.3369140625","224","2.8190117303835165","4.99835","4.71276","0.3557866413663369","0.00023588089361603913"
"07_bass",".m4a","226.470703125","9.123046875","24","24.82402055234425","4.90546","4.44516","0.3546785087750595","0.00023547581380366017"
"07_bass",".opus","226.470703125","14.2431640625","24","15.900308536167294","4.95463","4.6609","0.35398150878028417","0.00023727421739026092"
"07_bass",".m4a","226.470703125","73.9716796875","256","3.0615865974890095","4.9999","4.73164","0.35559789603843933","0.0002357036112436182"
"07_bass",".mp3","226.470703125","84.1240234375","256","2.6921049882172667","4.99994","4.71382","0.35556238631708514","0.00023573518436788125"
"07_bass",".opus","226.470703125","90.044921875","256","2.5150857861744353","4.99841","4.71279","0.3557605138711662","0.00023586030068473152"
"07_bass",".m4a","226.470703125","11.724609375","32","19.315842078960518","4.96942","4.54038","0.35427067561080333","0.00023516179734696903"
"07_bass",".mp3","226.470703125","10.6298828125","32","21.30509875976114","4.81904","4.30451","0.34854755026080425","0.00023951028460887552"
"07_bass",".opus","226.470703125","18.302734375","32","12.373599402411696","4.98068","4.69502","0.3533905766556127","0.00023579096365876912"
"07_bass",".m4a","226.470703125","74.1044921875","320","3.056099521631986","4.9999","4.73161","0.35559790027770927","0.00023570382366637515"
"07_bass",".mp3","226.470703125","105.14453125","320","2.153899022922317","4.99995","4.71402","0.35555098865639934","0.00023572715332936982"
"07_bass",".m4a","226.470703125","14.310546875","40","15.825440152859288","4.98162","4.64637","0.35660944948911977","0.00023634751624469858"
"07_bass",".mp3","226.470703125","13.2314453125","40","17.116097128939405","4.90491","4.57581","0.34750500055519074","0.00023568453193033707"
"07_bass",".opus","226.470703125","23.5048828125","40","9.63504923345382","4.99133","4.7019","0.3545088314700809","0.00023593623093770964"
"07_bass",".m4a","226.470703125","16.943359375","48","13.366340057636888","4.98909","4.64611","0.3559390185163014","0.00023589596421271148"
"07_bass",".mp3","226.470703125","15.833984375","48","14.302824719378314","4.9538","4.6116","0.34812393456748253","0.00023394522412092388"
"07_bass",".opus","226.470703125","26.1005859375","48","8.676843641261646","4.99289","4.70396","0.3546796839651018","0.00023583153445085468"
"07_bass",".m4a","226.470703125","22.1357421875","64","10.230996602991132","4.99188","4.62739","0.3554226075610315","0.00023557442781971664"
"07_bass",".mp3","226.470703125","21.0625","64","10.75231824925816","4.97765","4.62959","0.3560856003525634","0.00023755759733030165"
"07_bass",".opus","226.470703125","31.3115234375","64","7.232822879955088","4.99307","4.70656","0.35515287739830026","0.00023593915402912732"
"07_bass",".m4a","226.470703125","3.935546875","8","57.54491315136477","2.09887","3.23142","0.3535894213203272","0.00021506247518712584"
"07_bass",".opus","226.470703125","2.9599609375","8","76.51138238205213","3.6008","3.42549","0.3327671409109899","0.0002533769337622998"
"07_bass",".m4a","226.470703125","27.2197265625","80","8.320094715315896","4.99053","4.63952","0.35462813194584636","0.00023511399684110354"
"07_bass",".mp3","226.470703125","26.3193359375","80","8.604727097324774","4.99421","4.7039","0.355466781617321","0.0002360096611414312"
"07_bass",".opus","226.470703125","36.0322265625","80","6.285226441174079","4.99618","4.71002","0.35600751300011324","0.0002362802995834715"
"07_bass",".m4a","226.470703125","32.43359375","96","6.982596651812598","4.99544","4.70401","0.35625736099164235","0.00023599697495722466"
"07_bass",".mp3","226.470703125","31.57421875","96","7.172646294692565","4.99836","4.70415","0.35520898234403603","0.00023559143227202143"
"07_bass",".opus","226.470703125","40.51171875","96","5.5902516632918715","4.99635","4.71099","0.3555025422630031","0.0002359465143170025"
"08_male",".m4a","105.009765625","17.806640625","112","5.897224964352309","4.97449","4.71354","0.1259205851966285","0.00027748840329449627"
"08_male",".mp3","105.009765625","17.54296875","112","5.985860610109107","4.99662","4.71125","0.1265150774198524","0.00027927286510954103"
"08_male",".opus","105.009765625","18.3408203125","112","5.725467227517171","4.98596","4.6898","0.12798000066493168","0.00028204968377277086"
"08_male",".m4a","105.009765625","20.1953125","128","5.199709864603482","4.9921","4.71244","0.12654186191583425","0.0002785865333514812"
"08_male",".mp3","105.009765625","20.04296875","128","5.23923211849542","4.99814","4.71484","0.12651857940558828","0.0002792020128348989"
"08_male",".opus","105.009765625","20.7724609375","128","5.055239527995863","4.98605","4.69137","0.1271543700141461","0.0002801724606878714"
"08_male",".m4a","105.009765625","3.5361328125","16","29.696216514774925","4.16594","3.87714","0.12564460470738387","0.0002820862491549937"
"08_male",".opus","105.009765625","2.794921875","16","37.571628232005594","4.5366","4.31621","0.12741137270336392","0.00027976890096820066"
"08_male",".m4a","105.009765625","24.8212890625","160","4.2306330408781525","4.99426","4.72855","0.12658807882065956","0.00027891014510498857"
"08_male",".mp3","105.009765625","25.0439453125","160","4.193020081887307","4.99872","4.71785","0.1264877627947039","0.0002791537860697905"
