"Sample","Original duration (ms)","Original size (KB)","Original sample rate (fps)","Bitrate (Kbit/s)","ACC compression time (ms)","ACC Comp Time / Orig dur","ACC size (KB)","ACC rate","ACC sample rate","ACC Bit Rate","Opus compression time (ms)","Opus Comp Time / Orig dur","Opus size (KB)","Opus rate","Opus sample rate","Opus Bit Rate"
"10_saxophone","19824.603","1708.162109375","44100","160","303","0.015284038727030247","392.609375","4.350792971703745","44100","160342","264","0.013316786217610512","454.900390625","3.7550244945450797","48000","187914"
"10_saxophone","19824.603","1708.162109375","44100","192","326","0.016444213283867526","470.0693359375","3.6338513891110646","44100","192312","254","0.012812362497246477","529.8984375","3.223565099444174","48000","218894"
"10_saxophone","19824.603","1708.162109375","44100","224","334","0.016847752260158753","543.1435546875","3.144955131351597","44100","222473","248","0.012509708265028056","603.880859375","2.8286409195729445","48000","249456"
"10_saxophone","19824.603","1708.162109375","44100","256","401","0.020227391186597787","577.36328125","2.9585568823788098","44100","236597","278","0.01402297942612016","677.8505859375","2.519968478027543","48000","280012"
"10_saxophone","19824.603","1708.162109375","44100","320","431","0.021740662347689888","577.9052734375","2.9557821807274722","44100","236821",,,,,,
"11_bassoon","1408.481","121.623046875","44100","8","131","0.09300799939793294","2.5302734375","48.06715553840216","44100","8582","127","0.09016806048501896","1.5146484375","80.29787234042553","48000","8768"
"11_bassoon","1408.481","121.623046875","44100","16","130","0.09229801466970446","3.9306640625","30.942111801242238","44100","16595","126","0.08945807575679048","3.2294921875","37.660114907771394","48000","18696"
"11_bassoon","1408.481","121.623046875","44100","24","125","0.08874809102856197","5.3623046875","22.681114551083592","44100","24787","131","0.09300799939793294","4.8525390625","25.06379553230026","48000","28093"
"11_bassoon","1408.481","121.623046875","44100","32","138","0.09797789249553242","6.7890625","17.914556962025316","44100","32951","128","0.09087804521324747","6.314453125","19.261057841014537","48000","36556"
"11_bassoon","1408.481","121.623046875","44100","40","132","0.09371798412616145","8.2841796875","14.681362725450901","44100","41505","128","0.09087804521324747","8.7587890625","13.88582896643996","48000","50708"
"11_bassoon","1408.481","121.623046875","44100","48","134","0.09513795358261844","9.6318359375","12.627192537767414","44100","49216","124","0.08803810630033349","10.1689453125","11.960242005185826","48000","58872"
"11_bassoon","1408.481","121.623046875","44100","64","148","0.10507773977781738","12.4755859375","9.748884540117416","44100","65488","111","0.07880830483336304","13.3818359375","9.088666715317814","48000","77472"
"11_bassoon","1408.481","121.623046875","44100","80","140","0.09939786195198941","15.212890625","7.994736166388496","44100","81151","141","0.10010784668021791","15.9873046875","7.607476635514018","48000","92556"
