"Sample","Original size (KB)","Compressed size (KB)","q","qxy","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"05_countertenorA","212.814453125","6.861328125","0.20","0.10","31.016510105323086","2.98157","3.17507","0.0050880972662737676","0.00011750833897774618"
"05_countertenorA","212.814453125","4.830078125","0.20","0.20","44.06025070764254","1.68691","1.6758","0.10123239890171092","0.0004681174374214149"
"05_countertenorA","212.814453125","3.814453125","0.20","0.30","55.791602662570405","1.57446","1.76153","0.13437409537310568","0.0005832632799910702"
"05_countertenorA","212.814453125","3.814453125","0.20","0.40","55.791602662570405","1.57446","1.76153","0.13437409537310568","0.0005832632799910702"
"05_countertenorA","212.814453125","3.306640625","0.20","0.50","64.35971647962197","1.58025","1.72552","0.1418500525080246","0.0006246358539713238"
"05_countertenorA","212.814453125","3.306640625","0.20","0.60","64.35971647962197","1.58025","1.72552","0.1418500525080246","0.0006246358539713238"
"05_countertenorA","212.814453125","3.306640625","0.20","0.70","64.35971647962197","1.58025","1.72552","0.1418500525080246","0.0006246358539713238"
"05_countertenorA","212.814453125","3.306640625","0.20","0.80","64.35971647962197","1.58025","1.72552","0.1418500525080246","0.0006246358539713238"
"05_countertenorA","212.814453125","3.306640625","0.20","0.90","64.35971647962197","1.58025","1.72552","0.1418500525080246","0.0006246358539713238"
"05_countertenorA","212.814453125","3.306640625","0.20","1.00","64.35971647962197","1.58025","1.72552","0.1418500525080246","0.0006246358539713238"
"05_countertenorA","212.814453125","2.697265625","0.30","0.00","78.90007241129616","3.75869","4.23858","0.015388386699852648","0.00011039880153393017"
"05_countertenorA","212.814453125","11.884765625","0.30","0.10","17.90649137222679","2.95269","3.81925","0.0020515067408151248","8.443452883923781E-05"
"05_countertenorA","212.814453125","7.337890625","0.30","0.20","29.00212935853074","1.80883","1.81541","0.09050781194360022","0.00039322589406406825"
"05_countertenorA","212.814453125","5.822265625","0.30","0.30","36.551828245555186","1.55177","1.83602","0.12537496873956547","0.0006230230488666729"
"05_countertenorA","212.814453125","5.064453125","0.30","0.40","42.021210952564594","1.56499","1.77716","0.1345729126342459","0.0005857200438663391"
"05_countertenorA","212.814453125","4.306640625","0.30","0.50","49.41541950113378","1.5735","1.7258","0.14173195095483263","0.0006236838850612707"
"05_countertenorA","212.814453125","4.306640625","0.30","0.60","49.41541950113378","1.5735","1.7258","0.14173195095483263","0.0006236838850612707"
